"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Colombia","2012","Female","74",""
"Colombia","2012","Both sexes","110",""
"Colombia","2000","Male","225",""
"Colombia","2000","Female","100",""
"Colombia","2000","Both sexes","163",""
"Colombia","1990","Male","230",""
"Colombia","1990","Female","115",""
"Colombia","1990","Both sexes","173",""
"Comoros","2012","Male","283",""
"Comoros","2012","Female","236",""
"Comoros","2012","Both sexes","260",""
"Comoros","2000","Male","317",""
"Comoros","2000","Female","263",""
"Comoros","2000","Both sexes","290",""
"Comoros","1990","Male","347",""
"Comoros","1990","Female","283",""
"Comoros","1990","Both sexes","315",""
"Congo","2012","Male","325",""
"Congo","2012","Female","284",""
"Congo","2012","Both sexes","305",""
"Congo","2000","Male","430",""
"Congo","2000","Female","422",""
"Congo","2000","Both sexes","426",""
"Congo","1990","Male","379",""
"Congo","1990","Female","325",""
"Congo","1990","Both sexes","352",""
"Cook Islands","2012","Male","166",""
"Cook Islands","2012","Female","74",""
"Cook Islands","2012","Both sexes","122",""
"Cook Islands","2000","Male","177",""
"Cook Islands","2000","Female","113",""
"Cook Islands","2000","Both sexes","147",""
"Cook Islands","1990","Male","253",""
"Cook Islands","1990","Female","155",""
"Cook Islands","1990","Both sexes","207",""
"Costa Rica","2012","Male","113",""
"Costa Rica","2012","Female","65",""
"Costa Rica","2012","Both sexes","90",""
"Costa Rica","2000","Male","124",""
"Costa Rica","2000","Female","75",""
"Costa Rica","2000","Both sexes","100",""
"Costa Rica","1990","Male","129",""
"Costa Rica","1990","Female","86",""
"Costa Rica","1990","Both sexes","108",""
"Côte d’Ivoire","2012","Male","409",""
"Côte d’Ivoire","2012","Female","396",""
"Côte d’Ivoire","2012","Both sexes","404",""
"Côte d’Ivoire","2000","Male","492",""
"Côte d’Ivoire","2000","Female","480",""
"Côte d’Ivoire","2000","Both sexes","487",""
"Côte d’Ivoire","1990","Male","412",""
"Côte d’Ivoire","1990","Female","351",""
"Côte d’Ivoire","1990","Both sexes","386",""
"Croatia","2012","Male","143",""
"Croatia","2012","Female","60",""
"Croatia","2012","Both sexes","102",""
"Croatia","2000","Male","184",""
"Croatia","2000","Female","76",""
"Croatia","2000","Both sexes","130",""
"Croatia","1990","Male","224",""
"Croatia","1990","Female","89",""
"Croatia","1990","Both sexes","158",""
"Cuba","2012","Male","124",""
"Cuba","2012","Female","74",""
"Cuba","2012","Both sexes","100",""
"Cuba","2000","Male","145",""
"Cuba","2000","Female","97",""
"Cuba","2000","Both sexes","121",""
"Cuba","1990","Male","155",""
"Cuba","1990","Female","111",""
"Cuba","1990","Both sexes","133",""
"Cyprus","2012","Male","77",""
"Cyprus","2012","Female","36",""
"Cyprus","2012","Both sexes","57",""
"Cyprus","2000","Male","107",""
"Cyprus","2000","Female","56",""
"Cyprus","2000","Both sexes","83",""
"Cyprus","1990","Male","110",""
"Cyprus","1990","Female","61",""
"Cyprus","1990","Both sexes","86",""
"Czech Republic","2012","Male","126",""
"Czech Republic","2012","Female","58",""
"Czech Republic","2012","Both sexes","93",""
"Czech Republic","2000","Male","172",""
"Czech Republic","2000","Female","76",""
"Czech Republic","2000","Both sexes","125",""
"Czech Republic","1990","Male","230",""
"Czech Republic","1990","Female","95",""
"Czech Republic","1990","Both sexes","163",""
"Democratic People's Republic of Korea","2012","Male","188",""
"Democratic People's Republic of Korea","2012","Female","115",""
"Democratic People's Republic of Korea","2012","Both sexes","151",""
"Democratic People's Republic of Korea","2000","Male","255",""
"Democratic People's Republic of Korea","2000","Female","145",""
"Democratic People's Republic of Korea","2000","Both sexes","200",""
"Democratic People's Republic of Korea","1990","Male","168",""
"Democratic People's Republic of Korea","1990","Female","105",""
"Democratic People's Republic of Korea","1990","Both sexes","134",""
"Democratic Republic of the Congo","2012","Male","382",""
"Democratic Republic of the Congo","2012","Female","323",""
"Democratic Republic of the Congo","2012","Both sexes","352",""
"Democratic Republic of the Congo","2000","Male","417",""
"Democratic Republic of the Congo","2000","Female","359",""
"Democratic Republic of the Congo","2000","Both sexes","388",""
"Democratic Republic of the Congo","1990","Male","401",""
"Democratic Republic of the Congo","1990","Female","345",""
"Democratic Republic of the Congo","1990","Both sexes","372",""
"Denmark","2012","Male","102",""
"Denmark","2012","Female","61",""
"Denmark","2012","Both sexes","82",""
"Denmark","2000","Male","122",""
"Denmark","2000","Female","77",""
"Denmark","2000","Both sexes","100",""
"Denmark","1990","Male","152",""
"Denmark","1990","Female","99",""
"Denmark","1990","Both sexes","126",""
"Djibouti","2012","Male","293",""
"Djibouti","2012","Female","250",""
"Djibouti","2012","Both sexes","272",""
"Djibouti","2000","Male","366",""
"Djibouti","2000","Female","298",""
"Djibouti","2000","Both sexes","333",""
"Djibouti","1990","Male","324",""
"Djibouti","1990","Female","269",""
"Djibouti","1990","Both sexes","296",""
"Dominica","2012","Male","225",""
"Dominica","2012","Female","118",""
"Dominica","2012","Both sexes","172",""
"Dominica","2000","Male","189",""
"Dominica","2000","Female","116",""
"Dominica","2000","Both sexes","153",""
"Dominica","1990","Male","194",""
"Dominica","1990","Female","145",""
"Dominica","1990","Both sexes","170",""
"Dominican Republic","2012","Male","137",""
"Dominican Republic","2012","Female","93",""
"Dominican Republic","2012","Both sexes","115",""
"Dominican Republic","2000","Male","171",""
"Dominican Republic","2000","Female","129",""
"Dominican Republic","2000","Both sexes","150",""
"Dominican Republic","1990","Male","183",""
"Dominican Republic","1990","Female","156",""
"Dominican Republic","1990","Both sexes","170",""
"Ecuador","2012","Male","159",""
"Ecuador","2012","Female","87",""
"Ecuador","2012","Both sexes","124",""
"Ecuador","2000","Male","192",""
"Ecuador","2000","Female","113",""
"Ecuador","2000","Both sexes","154",""
"Ecuador","1990","Male","219",""
"Ecuador","1990","Female","141",""
"Ecuador","1990","Both sexes","181",""
"Egypt","2012","Male","196",""
"Egypt","2012","Female","120",""
"Egypt","2012","Both sexes","159",""
"Egypt","2000","Male","218",""
"Egypt","2000","Female","136",""
"Egypt","2000","Both sexes","177",""
"Egypt","1990","Male","232",""
"Egypt","1990","Female","145",""
"Egypt","1990","Both sexes","189",""
"El Salvador","2012","Male","294",""
"El Salvador","2012","Female","138",""
"El Salvador","2012","Both sexes","211",""
"El Salvador","2000","Male","287",""
"El Salvador","2000","Female","142",""
"El Salvador","2000","Both sexes","211",""
"El Salvador","1990","Male","330",""
"El Salvador","1990","Female","162",""
"El Salvador","1990","Both sexes","245",""
"Equatorial Guinea","2012","Male","379",""
"Equatorial Guinea","2012","Female","336",""
"Equatorial Guinea","2012","Both sexes","360",""
"Equatorial Guinea","2000","Male","414",""
"Equatorial Guinea","2000","Female","374",""
"Equatorial Guinea","2000","Both sexes","396",""
"Equatorial Guinea","1990","Male","411",""
"Equatorial Guinea","1990","Female","353",""
"Equatorial Guinea","1990","Both sexes","384",""
"Eritrea","2012","Male","313",""
"Eritrea","2012","Female","245",""
"Eritrea","2012","Both sexes","278",""
"Eritrea","2000","Male","735",""
"Eritrea","2000","Female","426",""
"Eritrea","2000","Both sexes","605",""
"Eritrea","1990","Male","534",""
"Eritrea","1990","Female","447",""
"Eritrea","1990","Both sexes","490",""
"Estonia","2012","Male","199",""
"Estonia","2012","Female","68",""
"Estonia","2012","Both sexes","133",""
"Estonia","2000","Male","319",""
"Estonia","2000","Female","121",""
"Estonia","2000","Both sexes","219",""
"Estonia","1990","Male","301",""
"Estonia","1990","Female","107",""
"Estonia","1990","Both sexes","204",""
"Ethiopia","2012","Male","250",""
"Ethiopia","2012","Female","212",""
"Ethiopia","2012","Both sexes","231",""
"Ethiopia","2000","Male","411",""
"Ethiopia","2000","Female","361",""
"Ethiopia","2000","Both sexes","386",""
"Ethiopia","1990","Male","478",""
"Ethiopia","1990","Female","366",""
"Ethiopia","1990","Both sexes","424",""
"Fiji","2012","Male","242",""
"Fiji","2012","Female","146",""
"Fiji","2012","Both sexes","196",""
"Fiji","2000","Male","265",""
"Fiji","2000","Female","177",""
"Fiji","2000","Both sexes","222",""
"Fiji","1990","Male","266",""
"Fiji","1990","Female","194",""
"Fiji","1990","Both sexes","231",""
"Finland","2012","Male","108",""
"Finland","2012","Female","51",""
"Finland","2012","Both sexes","80",""
"Finland","2000","Male","143",""
"Finland","2000","Female","63",""
"Finland","2000","Both sexes","104",""
"Finland","1990","Male","183",""
"Finland","1990","Female","70",""
"Finland","1990","Both sexes","128",""
"France","2012","Male","109",""
"France","2012","Female","52",""
"France","2012","Both sexes","80",""
"France","2000","Male","138",""
"France","2000","Female","61",""
"France","2000","Both sexes","100",""
"France","1990","Male","162",""
"France","1990","Female","67",""
"France","1990","Both sexes","115",""
"Gabon","2012","Male","285",""
"Gabon","2012","Female","273",""
"Gabon","2012","Both sexes","279",""
"Gabon","2000","Male","326",""
"Gabon","2000","Female","313",""
"Gabon","2000","Both sexes","319",""
"Gabon","1990","Male","267",""
"Gabon","1990","Female","221",""
"Gabon","1990","Both sexes","243",""
"Gambia","2012","Male","296",""
"Gambia","2012","Female","244",""
"Gambia","2012","Both sexes","270",""
"Gambia","2000","Male","323",""
"Gambia","2000","Female","280",""
"Gambia","2000","Both sexes","303",""
"Gambia","1990","Male","348",""
"Gambia","1990","Female","300",""
"Gambia","1990","Both sexes","326",""
"Georgia","2012","Male","176",""
"Georgia","2012","Female","66",""
"Georgia","2012","Both sexes","119",""
"Georgia","2000","Male","201",""
"Georgia","2000","Female","78",""
"Georgia","2000","Both sexes","138",""
"Georgia","1990","Male","217",""
"Georgia","1990","Female","86",""
"Georgia","1990","Both sexes","150",""
"Germany","2012","Male","94",""
"Germany","2012","Female","50",""
"Germany","2012","Both sexes","72",""
"Germany","2000","Male","124",""
"Germany","2000","Female","63",""
"Germany","2000","Both sexes","94",""
"Germany","1990","Male","157",""
"Germany","1990","Female","77",""
"Germany","1990","Both sexes","119",""
"Ghana","2012","Male","263",""
"Ghana","2012","Female","227",""
"Ghana","2012","Both sexes","244",""
"Ghana","2000","Male","309",""
"Ghana","2000","Female","285",""
"Ghana","2000","Both sexes","297",""
"Ghana","1990","Male","299",""
"Ghana","1990","Female","260",""
"Ghana","1990","Both sexes","280",""
"Greece","2012","Male","105",""
"Greece","2012","Female","46",""
"Greece","2012","Both sexes","76",""
"Greece","2000","Male","116",""
"Greece","2000","Female","48",""
"Greece","2000","Both sexes","82",""
"Greece","1990","Male","117",""
"Greece","1990","Female","56",""
"Greece","1990","Both sexes","87",""
"Grenada","2012","Male","195",""
"Grenada","2012","Female","121",""
"Grenada","2012","Both sexes","159",""
"Grenada","2000","Male","213",""
